Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,1u,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.01u,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,10,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.5k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
RV1,Potentiometer_Vishay_T93YA_Vertical,1,50k,
U1,DIP-8_W7.62mm,1,NE555P,
U2,DIP-16_W7.62mm,1,4017,
