Designator,Mid X,Mid Y,Rotation,Layer
C1,175.5,-90.0,0.0,top
C2,154.5,-96.0,0.0,top
D1,126.73,-98.0,0.0,top
D10,161.73,-71.0,180.0,top
D2,128.73,-82.0,0.0,top
D3,131.73,-115.0,0.0,top
D4,145.73,-121.0,0.0,top
D5,162.27,-121.0,180.0,top
D6,145.27,-73.0,0.0,top
D7,177.27,-115.0,180.0,top
D8,181.27,-97.0,180.0,top
D9,176.73,-82.0,180.0,top
J1,158.27,-78.0,90.0,top
R1,156.81,-103.0,0.0,top
R2,167.0,-105.19,90.0,top
R3,168.19,-82.0,180.0,top
RV1,167.46,-96.0,180.0,top
U1,154.81,-86.19,0.0,top
U2,143.005,-93.0,0.0,top
